order_id,order_date,customer_age,restaurant_type,order_value,delivery_distance_km,delivery_time_minutes,payment_method,delivery_partner_rating,order_status,order_month,order_dayofweek,age_group,delivery_speed,distance_category,order_size
73,2024-05-25,59,Italian,803.3,10.42,59,Wallet,3.0,Cancelled,5,Saturday,Senior (45+),Normal,Far,Regular
74,2024-08-21,39,Italian,313.66,14.04,35,Card,3.6,Cancelled,8,Wednesday,Adult (30-44),Normal,Far,Budget
75,2024-06-24,37,Chinese,193.56,6.78,49,UPI,4.9,Cancelled,6,Monday,Adult (30-44),Normal,Medium,Budget
76,2024-08-12,37,Bakery,874.31,8.66,58,Wallet,5.0,Delayed,8,Monday,Adult (30-44),Normal,Medium,Premium
77,2024-12-13,21,Bakery,1123.71,5.53,90,UPI,2.7,Delivered,12,Friday,Young (18-29),Slow,Medium,Premium
78,2024-11-28,43,Bakery,497.26,10.06,36,Wallet,3.3,Delivered,11,Thursday,Adult (30-44),Normal,Far,Regular
79,2024-12-08,36,Italian,1083.21,1.78,41,Wallet,3.8,Cancelled,12,Sunday,Adult (30-44),Normal,Near,Premium
80,2024-07-16,29,Chinese,961.1,13.2,16,Card,4.5,Cancelled,7,Tuesday,Young (18-29),Fast,Far,Premium
81,2024-08-26,44,Chinese,765.08,9.84,69,Card,2.7,Delivered,8,Monday,Adult (30-44),Slow,Medium,Regular
82,2024-11-06,47,Chinese,704.03,1.83,33,Wallet,4.4,Delayed,11,Wednesday,Senior (45+),Normal,Near,Regular
83,2024-08-31,40,Italian,921.49,1.01,75,UPI,3.4,Delivered,8,Saturday,Adult (30-44),Slow,Near,Premium
84,2024-10-10,42,Bakery,338.79,5.03,47,UPI,2.7,Delayed,10,Thursday,Adult (30-44),Normal,Medium,Budget
85,2024-09-12,53,Italian,925.0,0.91,44,UPI,4.0,Delayed,9,Thursday,Senior (45+),Normal,Near,Premium
86,2024-07-05,27,Chinese,219.65,4.48,80,Cash,4.1,Cancelled,7,Friday,Young (18-29),Slow,Near,Budget
87,2024-06-03,42,Bakery,171.43,4.66,44,Wallet,4.2,Delayed,6,Monday,Adult (30-44),Normal,Near,Budget
88,2024-09-03,42,Italian,744.13,13.97,16,Wallet,2.8,Delayed,9,Tuesday,Adult (30-44),Fast,Far,Regular
89,2024-10-15,60,Chinese,1017.52,11.89,77,Card,4.9,Delayed,10,Tuesday,Senior (45+),Slow,Far,Premium
90,2024-10-11,26,Cafe,857.45,8.73,77,Cash,3.0,Cancelled,10,Friday,Young (18-29),Slow,Medium,Premium
91,2024-03-18,53,Bakery,1177.39,6.95,76,Cash,3.9,Cancelled,3,Monday,Senior (45+),Slow,Medium,Premium
92,2024-07-21,64,Fast Food,222.94,4.01,68,Card,3.5,Delayed,7,Sunday,Senior (45+),Slow,Near,Budget
93,2024-08-24,60,Italian,358.24,9.45,86,Cash,2.6,Delayed,8,Saturday,Senior (45+),Slow,Medium,Budget
94,2024-08-06,45,Italian,902.2,5.07,36,UPI,3.7,Cancelled,8,Tuesday,Senior (45+),Normal,Medium,Premium
95,2024-10-15,36,Fast Food,646.58,11.66,15,Cash,2.8,Delivered,10,Tuesday,Adult (30-44),Fast,Far,Regular
96,2024-03-31,26,Chinese,692.18,4.66,60,UPI,2.7,Delivered,3,Sunday,Young (18-29),Slow,Near,Regular
97,2024-05-13,21,Bakery,398.18,0.82,85,UPI,3.6,Delayed,5,Monday,Young (18-29),Slow,Near,Budget
98,2024-01-10,48,Italian,261.92,6.57,46,UPI,3.1,Cancelled,1,Wednesday,Senior (45+),Normal,Medium,Budget
99,2024-05-21,44,Cafe,669.0,7.37,61,Wallet,3.9,Cancelled,5,Tuesday,Adult (30-44),Slow,Medium,Regular
100,2024-08-25,59,Fast Food,1100.38,3.64,47,Cash,3.6,Delayed,8,Sunday,Senior (45+),Normal,Near,Premium
101,2024-06-16,29,Chinese,775.42,13.58,24,Cash,5.0,Cancelled,6,Sunday,Young (18-29),Fast,Far,Regular
102,2024-11-17,38,Indian,634.31,3.84,46,Wallet,3.1,Delivered,11,Sunday,Adult (30-44),Normal,Near,Regular
103,2024-09-07,62,Chinese,425.38,6.99,79,Wallet,3.8,Delivered,9,Saturday,Senior (45+),Slow,Medium,Budget
104,2024-09-25,41,Bakery,943.41,11.99,39,Wallet,3.3,Delivered,9,Wednesday,Adult (30-44),Normal,Far,Premium
105,2024-05-15,48,Indian,161.37,3.38,62,Wallet,3.4,Delivered,5,Wednesday,Senior (45+),Slow,Near,Budget
106,2024-05-23,42,Italian,180.49,7.56,52,Wallet,4.3,Delayed,5,Thursday,Adult (30-44),Normal,Medium,Budget
107,2024-09-25,51,Cafe,295.69,14.51,40,Cash,3.6,Delayed,9,Wednesday,Senior (45+),Normal,Far,Budget
108,2024-10-01,59,Indian,971.91,1.81,26,UPI,5.0,Delivered,10,Tuesday,Senior (45+),Fast,Near,Premium
109,2024-12-01,48,Indian,1146.8,13.51,47,Wallet,2.8,Delayed,12,Sunday,Senior (45+),Normal,Far,Premium
110,2024-04-01,42,Indian,1060.8,10.84,16,Card,4.0,Delivered,4,Monday,Adult (30-44),Fast,Far,Premium
111,2024-04-18,45,Fast Food,246.11,7.61,62,UPI,2.9,Delayed,4,Thursday,Senior (45+),Slow,Medium,Budget
112,2024-06-24,26,Bakery,998.09,2.47,48,Cash,3.3,Delayed,6,Monday,Young (18-29),Normal,Near,Premium
113,2024-09-07,24,Cafe,590.8,13.57,40,Card,3.9,Cancelled,9,Saturday,Young (18-29),Normal,Far,Regular
114,2024-01-25,28,Cafe,278.46,6.56,38,Cash,4.0,Delayed,1,Thursday,Young (18-29),Normal,Medium,Budget
115,2024-01-08,64,Fast Food,604.93,4.75,15,Cash,2.7,Cancelled,1,Monday,Senior (45+),Fast,Near,Regular
116,2024-10-29,64,Fast Food,1014.01,4.31,73,UPI,3.2,Delivered,10,Tuesday,Senior (45+),Slow,Near,Premium
117,2024-01-05,38,Indian,335.59,11.32,75,Card,3.7,Delayed,1,Friday,Adult (30-44),Slow,Far,Budget
118,2024-10-08,26,Fast Food,1085.17,14.4,55,Card,3.7,Delivered,10,Tuesday,Young (18-29),Normal,Far,Premium
119,2024-05-20,33,Fast Food,1089.83,9.66,44,Card,2.8,Cancelled,5,Monday,Adult (30-44),Normal,Medium,Premium
120,2024-04-22,19,Indian,1194.94,3.69,68,Cash,4.8,Delivered,4,Monday,Young (18-29),Slow,Near,Premium
121,2024-03-13,51,Italian,468.73,4.94,51,Cash,3.9,Cancelled,3,Wednesday,Senior (45+),Normal,Near,Regular
122,2024-04-24,36,Cafe,462.71,6.79,51,Card,3.2,Delivered,4,Wednesday,Adult (30-44),Normal,Medium,Regular
123,2024-06-16,51,Chinese,886.72,8.53,47,Cash,3.1,Cancelled,6,Sunday,Senior (45+),Normal,Medium,Premium
124,2024-04-07,19,Cafe,358.51,9.44,33,Cash,4.9,Delayed,4,Sunday,Young (18-29),Normal,Medium,Budget
125,2024-09-14,38,Indian,934.86,11.37,28,Cash,2.7,Delivered,9,Saturday,Adult (30-44),Fast,Far,Premium
126,2024-10-05,58,Indian,835.9,9.63,50,UPI,4.9,Delayed,10,Saturday,Senior (45+),Normal,Medium,Regular
127,2024-10-05,59,Cafe,498.15,6.26,68,Card,3.3,Cancelled,10,Saturday,Senior (45+),Slow,Medium,Regular
128,2024-09-23,31,Italian,637.59,13.18,40,Wallet,2.7,Cancelled,9,Monday,Adult (30-44),Normal,Far,Regular
129,2024-11-13,38,Bakery,676.33,8.69,86,Cash,4.3,Cancelled,11,Wednesday,Adult (30-44),Slow,Medium,Regular
130,2024-12-27,34,Italian,1034.07,9.71,86,Card,3.5,Delivered,12,Friday,Adult (30-44),Slow,Medium,Premium
131,2024-10-24,23,Italian,702.12,5.94,48,UPI,3.7,Delivered,10,Thursday,Young (18-29),Normal,Medium,Regular
132,2024-12-08,31,Italian,440.5,5.26,88,Wallet,4.7,Cancelled,12,Sunday,Adult (30-44),Slow,Medium,Budget
133,2024-01-11,31,Chinese,335.52,13.67,83,Card,2.8,Cancelled,1,Thursday,Adult (30-44),Slow,Far,Budget
134,2024-09-27,54,Bakery,614.99,5.91,19,Cash,4.0,Delivered,9,Friday,Senior (45+),Fast,Medium,Regular
135,2024-11-10,41,Fast Food,927.98,5.89,65,UPI,2.6,Delivered,11,Sunday,Adult (30-44),Slow,Medium,Premium
136,2024-03-20,53,Chinese,260.86,1.05,34,Wallet,3.5,Cancelled,3,Wednesday,Senior (45+),Normal,Near,Budget
137,2024-01-03,24,Fast Food,320.5,14.21,27,UPI,2.8,Delivered,1,Wednesday,Young (18-29),Fast,Far,Budget
138,2024-02-25,53,Fast Food,680.8,8.46,25,Wallet,2.9,Delivered,2,Sunday,Senior (45+),Fast,Medium,Regular
139,2024-12-08,24,Indian,1072.74,8.2,65,Card,4.5,Cancelled,12,Sunday,Young (18-29),Slow,Medium,Premium
140,2024-07-23,45,Italian,276.14,11.18,24,Wallet,2.9,Cancelled,7,Tuesday,Senior (45+),Fast,Far,Budget
141,2024-04-02,38,Cafe,378.66,11.64,84,Cash,4.9,Delivered,4,Tuesday,Adult (30-44),Slow,Far,Budget
142,2024-10-12,55,Bakery,243.87,3.12,55,Wallet,4.7,Cancelled,10,Saturday,Senior (45+),Normal,Near,Budget
143,2024-10-04,61,Chinese,704.74,12.44,78,Wallet,3.2,Cancelled,10,Friday,Senior (45+),Slow,Far,Regular
144,2024-06-18,21,Cafe,864.64,2.26,88,Cash,3.6,Cancelled,6,Tuesday,Young (18-29),Slow,Near,Premium
145,2024-03-26,32,Chinese,1091.87,5.89,84,Card,3.9,Delayed,3,Tuesday,Adult (30-44),Slow,Medium,Premium
146,2024-08-17,22,Chinese,790.11,13.35,73,Wallet,2.5,Cancelled,8,Saturday,Young (18-29),Slow,Far,Regular
147,2024-05-02,63,Italian,543.63,13.88,23,Card,4.3,Delivered,5,Thursday,Senior (45+),Fast,Far,Regular
148,2024-09-26,63,Chinese,736.6,3.72,24,UPI,4.9,Cancelled,9,Thursday,Senior (45+),Fast,Near,Regular
149,2024-12-09,57,Bakery,1153.33,14.24,74,UPI,4.6,Cancelled,12,Monday,Senior (45+),Slow,Far,Premium
150,2024-11-12,54,Bakery,716.44,11.7,22,Card,4.4,Cancelled,11,Tuesday,Senior (45+),Fast,Far,Regular
151,2024-11-05,65,Italian,326.2,5.9,33,Wallet,3.6,Delivered,11,Tuesday,Senior (45+),Normal,Medium,Budget
152,2024-02-09,29,Italian,733.43,10.92,46,Card,4.0,Delayed,2,Friday,Young (18-29),Normal,Far,Regular
153,2024-07-20,41,Bakery,485.48,10.28,17,UPI,3.4,Delayed,7,Saturday,Adult (30-44),Fast,Far,Regular
154,2024-11-13,54,Indian,643.99,11.25,38,Wallet,2.5,Delivered,11,Wednesday,Senior (45+),Normal,Far,Regular
155,2024-08-14,18,Fast Food,853.07,10.08,26,UPI,4.0,Delayed,8,Wednesday,Young (18-29),Fast,Far,Premium
156,2024-01-12,51,Chinese,454.17,13.95,32,Card,2.5,Delayed,1,Friday,Senior (45+),Normal,Far,Regular
157,2024-03-04,61,Cafe,1168.19,8.4,57,Wallet,4.9,Cancelled,3,Monday,Senior (45+),Normal,Medium,Premium
158,2024-08-10,57,Bakery,554.75,4.35,87,UPI,2.6,Delayed,8,Saturday,Senior (45+),Slow,Near,Regular
159,2024-02-11,25,Bakery,884.45,12.76,51,Cash,2.7,Delayed,2,Sunday,Young (18-29),Normal,Far,Premium
160,2024-08-07,59,Cafe,158.59,14.83,67,UPI,4.9,Delivered,8,Wednesday,Senior (45+),Slow,Far,Budget
161,2024-07-22,53,Cafe,500.34,11.75,40,UPI,3.5,Delayed,7,Monday,Senior (45+),Normal,Far,Regular
162,2024-04-30,20,Bakery,1019.03,2.09,85,Card,4.0,Delayed,4,Tuesday,Young (18-29),Slow,Near,Premium
163,2024-08-12,20,Cafe,926.55,4.36,53,Cash,4.4,Delivered,8,Monday,Young (18-29),Normal,Near,Premium
164,2024-07-27,55,Indian,242.25,0.52,80,Wallet,4.9,Delayed,7,Saturday,Senior (45+),Slow,Near,Budget
165,2024-04-23,40,Cafe,402.58,13.06,76,Cash,4.9,Cancelled,4,Tuesday,Adult (30-44),Slow,Far,Budget
166,2024-10-02,48,Indian,295.25,11.16,29,Card,3.4,Cancelled,10,Wednesday,Senior (45+),Fast,Far,Budget
167,2024-05-09,57,Chinese,403.94,14.68,61,UPI,3.4,Delayed,5,Thursday,Senior (45+),Slow,Far,Budget
168,2024-08-23,46,Chinese,530.68,3.52,70,Cash,4.3,Delivered,8,Friday,Senior (45+),Slow,Near,Regular
169,2024-11-18,21,Bakery,897.59,4.91,26,Card,4.2,Cancelled,11,Monday,Young (18-29),Fast,Near,Premium
170,2024-01-27,51,Italian,224.25,11.88,66,Wallet,4.8,Cancelled,1,Saturday,Senior (45+),Slow,Far,Budget
171,2024-10-08,26,Italian,470.73,3.34,28,Wallet,4.9,Cancelled,10,Tuesday,Young (18-29),Fast,Near,Regular
172,2024-05-07,26,Fast Food,725.52,6.14,58,Card,4.8,Cancelled,5,Tuesday,Young (18-29),Normal,Medium,Regular
173,2024-08-08,46,Cafe,367.14,11.37,32,UPI,2.7,Delivered,8,Thursday,Senior (45+),Normal,Far,Budget
174,2024-09-04,48,Cafe,1130.32,14.17,22,UPI,3.7,Delivered,9,Wednesday,Senior (45+),Fast,Far,Premium
175,2024-12-28,39,Chinese,684.01,7.92,88,UPI,3.1,Delivered,12,Saturday,Adult (30-44),Slow,Medium,Regular
176,2024-06-03,45,Chinese,439.21,5.67,19,Wallet,4.3,Cancelled,6,Monday,Senior (45+),Fast,Medium,Budget
177,2024-04-17,35,Bakery,869.39,11.5,45,UPI,4.9,Cancelled,4,Wednesday,Adult (30-44),Normal,Far,Premium
178,2024-03-25,59,Indian,470.19,5.66,23,Card,2.6,Delivered,3,Monday,Senior (45+),Fast,Medium,Regular
179,2024-02-01,29,Cafe,343.54,7.08,66,UPI,4.9,Delivered,2,Thursday,Young (18-29),Slow,Medium,Budget
180,2024-05-04,55,Chinese,332.1,8.79,54,Card,3.2,Delivered,5,Saturday,Senior (45+),Normal,Medium,Budget
181,2024-06-04,28,Fast Food,709.86,14.98,69,UPI,3.9,Cancelled,6,Tuesday,Young (18-29),Slow,Far,Regular
182,2024-06-16,42,Bakery,648.63,1.47,78,Card,3.4,Cancelled,6,Sunday,Adult (30-44),Slow,Near,Regular
183,2024-12-19,42,Italian,270.8,7.39,30,UPI,4.7,Delayed,12,Thursday,Adult (30-44),Normal,Medium,Budget
184,2024-09-02,64,Bakery,722.53,2.26,50,Cash,3.0,Delayed,9,Monday,Senior (45+),Normal,Near,Regular
185,2024-02-06,22,Italian,577.24,14.77,54,UPI,3.5,Delayed,2,Tuesday,Young (18-29),Normal,Far,Regular
186,2024-08-15,18,Cafe,846.5,7.16,48,UPI,3.6,Delayed,8,Thursday,Young (18-29),Normal,Medium,Regular
187,2024-09-13,26,Italian,967.12,11.93,80,Card,3.7,Delivered,9,Friday,Young (18-29),Slow,Far,Premium
188,2024-05-20,37,Fast Food,237.04,5.24,77,Card,3.1,Delivered,5,Monday,Adult (30-44),Slow,Medium,Budget
189,2024-12-07,41,Cafe,322.97,5.35,53,Cash,3.6,Delivered,12,Saturday,Adult (30-44),Normal,Medium,Budget
190,2024-04-06,32,Indian,575.76,9.42,29,Cash,2.9,Cancelled,4,Saturday,Adult (30-44),Fast,Medium,Regular
191,2024-01-03,54,Cafe,1133.36,14.57,90,UPI,2.8,Delayed,1,Wednesday,Senior (45+),Slow,Far,Premium
192,2024-10-20,22,Fast Food,874.0,13.48,47,Card,4.0,Cancelled,10,Sunday,Young (18-29),Normal,Far,Premium
193,2024-10-14,40,Cafe,329.51,9.37,82,Wallet,3.6,Delivered,10,Monday,Adult (30-44),Slow,Medium,Budget
194,2024-11-06,61,Bakery,1060.61,13.48,56,Cash,2.9,Delayed,11,Wednesday,Senior (45+),Normal,Far,Premium
195,2024-09-03,26,Chinese,551.77,12.28,61,Wallet,4.9,Delivered,9,Tuesday,Young (18-29),Slow,Far,Regular
196,2024-11-27,36,Chinese,1132.54,4.17,78,Card,3.5,Delivered,11,Wednesday,Adult (30-44),Slow,Near,Premium
197,2024-09-08,37,Indian,876.47,4.54,72,Wallet,3.6,Cancelled,9,Sunday,Adult (30-44),Slow,Near,Premium
198,2024-08-29,62,Cafe,933.54,4.61,80,Cash,4.3,Cancelled,8,Thursday,Senior (45+),Slow,Near,Premium
199,2024-01-29,49,Italian,1036.36,6.97,84,Card,5.0,Delivered,1,Monday,Senior (45+),Slow,Medium,Premium
200,2024-07-20,53,Italian,770.91,1.41,57,Card,3.2,Cancelled,7,Saturday,Senior (45+),Normal,Near,Regular
201,2024-01-13,20,Bakery,854.61,12.54,68,Card,4.7,Delayed,1,Saturday,Young (18-29),Slow,Far,Premium
202,2024-07-22,19,Indian,957.51,13.97,89,UPI,4.3,Delivered,7,Monday,Young (18-29),Slow,Far,Premium
203,2024-07-19,48,Bakery,901.54,13.38,22,Card,3.5,Delayed,7,Friday,Senior (45+),Fast,Far,Premium
204,2024-07-31,59,Bakery,805.7,11.91,29,Wallet,4.6,Cancelled,7,Wednesday,Senior (45+),Fast,Far,Regular
205,2024-04-11,51,Indian,964.02,8.16,50,Wallet,4.3,Delivered,4,Thursday,Senior (45+),Normal,Medium,Premium
206,2024-04-07,29,Chinese,1084.68,11.77,23,Cash,3.5,Delivered,4,Sunday,Young (18-29),Fast,Far,Premium
207,2024-03-02,29,Italian,1040.01,1.92,22,UPI,2.9,Delivered,3,Saturday,Young (18-29),Fast,Near,Premium
208,2024-08-27,44,Bakery,794.45,12.63,20,Wallet,3.7,Delivered,8,Tuesday,Adult (30-44),Fast,Far,Regular
209,2024-01-24,48,Bakery,1013.56,11.74,38,UPI,3.7,Delayed,1,Wednesday,Senior (45+),Normal,Far,Premium
210,2024-11-13,38,Italian,256.03,13.58,72,UPI,4.9,Delivered,11,Wednesday,Adult (30-44),Slow,Far,Budget
211,2024-02-19,24,Cafe,729.32,11.3,80,Card,4.0,Cancelled,2,Monday,Young (18-29),Slow,Far,Regular
212,2024-06-14,65,Italian,815.14,9.56,42,Wallet,4.9,Cancelled,6,Friday,Senior (45+),Normal,Medium,Regular
